c Maximal rule for r=c:ab; ar,br,cr,d; a,r,c,d
C name=08.vlp, rows=22, cols=99, objs=33
C vertices=54, facets=2157753
[ , , , , , , , , , , ] + [ , , , , , , , , ,1, ] <= [ , , , , , , , , ,1, ]
[ , , , , , , , , , , ] + [ , , , , , , ,1, , , ] <= [ , , , , , , ,1, , , ]
[ , , , , , , , , , , ] + [ , , , , , ,1, , , , ] <= [ , , ,1, , , , , , , ]
[ , , , , , , , , , , ] + [ , , , , , ,1, , , ,1] <= [ , ,1,1,1, , , , , , ]
[ ,1, , , , , , ,1, , ] + [1, , , , , , , , , , ] <= [ ,1,1, , ,1, ,1,1, ,1]
[ ,1, , , , , ,1, , , ] + [1, , , , , ,1, , , , ] <= [ ,1,1, , , ,1,1,1, ,1]
[ ,2, , , , , , , ,1, ] + [1, , , , , , , , , ,1] <= [ ,2,2, , , ,1, ,1,1,1]
[ ,2, , , , , , , ,1, ] + [1, , ,1, , , , , , , ] <= [ ,2,1,1, ,1, ,1, ,1,1]
[1, , , , , , , , , , ] + [ , , ,1, , ,1, , , ,1] <= [1, ,1,1, , , , , , , ]
[1, , , , , , , , , , ] + [ , ,1, , , ,1, , , ,1] <= [ , ,2,1,1, , , , ,1, ]
[1, , , , , , , , , , ] + [ ,1, , , , ,1, , , ,1] <= [ , ,2,1,1, , , , ,1, ]
[1, , , , , , , , , ,1] + [ , , ,1, , ,1, , , ,1] <= [1, ,1,1, , , , , , ,1]
[1, , , , , , , , , ,1] + [ , ,1, , , ,1, , , ,1] <= [ , ,2,1,1, , , , ,1,1]
[1, , , , , , , , , ,1] + [ ,1, , , , ,1, , , ,1] <= [ , ,2,1,1, , , , ,1,1]
[1, , , , , , , , ,1, ] + [ , , ,1, , ,1, , , ,2] <= [ , ,2,2,1, , , , ,2, ]
[1, , , , , , , , ,1,2] + [ , , ,1, , ,1, , , ,2] <= [ , ,2,2,1, , , , ,2,2]
